country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,year,month
Algeria,17.37133356,0.805293609,2381740,89,9.513805988,-0.552147269,0.17317304,98.91090393,0.26,1020.070535,114179.4,210955.5444,15.05468439,3.911061955,-6.992750803,7.686666667,0.730717461,51.20181838,15.53662303,25.60454474,-0.39590171,0.225383639,0.531282902,96,21.8675,63.41375,12.5,2.36,3.518012609,1.61207E+11,-1.259367585,0.243547097,-0.816793382,0.155906692,-1.104800701,0.204706118,4.138329983,3.55552173,24.8,35.7,24.458,4.754,73.808,35856344,11638969,-1.022330761,0.11014083,0.708382326,2010,1
Algeria,17.38149,0.811675498,2381740,89,6.994354358,-0.521544516,0.157309726,98.76466047,0.18,1242.063895,134934.2,234851.8305,15.64426134,8.891450911,0.504068364,7.510833333,0.730717461,51.20181838,15.53662303,25.60454474,-0.447385341,0.217348948,0.574535906,96,21.8675,63.41375,18.2,2.41,4.46107862,2.09059E+11,-1.325043321,0.226807356,-0.812617719,0.15368706,-1.320389032,0.225563601,7.637597084,4.37614059,24.8,35.7,25.382,4.767,74.202,37260563,11582446,-0.906026602,0.115554519,1.403628837,2012,1
Algeria,17.39526565,0.818057387,2381740,89,7.184261068,-0.612656415,0.154763862,99.27455139,0.07,1368.621519,147735.2,252331.6686,16.27388716,2.916926921,8.325605574,7.7125,0.730717461,51.20181838,15.53662303,25.60454474,-0.339201897,0.210790902,0.574535906,96,21.8675,63.41375,29.5,2.649451,5.548483336,2.1381E+11,-1.190535188,0.200113058,-0.804205596,0.170405194,-1.30188942,0.231222689,7.31870079,4.71454287,24.8,35.7,25.404,4.555,75.11,38760168,11542390,-0.813357711,0.127197281,1.488641658,2014,1
Algeria,17.36553219,0.821247986,2381741,89,8.941447267,-0.673416734,0.160436571,99.43369293,0.08,1331.112025,154654.3,262948.8019,16.93690834,6.397694803,6.352723357,6.805,0.730717461,51.20181838,15.53662303,25.60454474,-0.464160442,0.196886912,0.574535906,96,21.8675,41.55708333,42.94552688,2.769683,6.384928983,1.60034E+11,-1.099741936,0.210856497,-0.917128682,0.186702043,-1.241429925,0.231806561,7.344342709,4.47245169,24.8,35.7,25.166,4.472,75.732,40339329,11513248,-0.861592352,0.124397255,1.343601939,2016,1
Algeria,17.35656799,0.810331602,2381741,89,8.614924085,-0.658660114,0.15487887,99.63774109,0.19,1331.112025,164534.1,274181.7018,17.6035123,4.269990205,1.164122496,5.640833333,0.730717461,51.20181838,15.53662303,25.60454474,-0.488373935,0.206083715,0.531993926,96,21.8675,52.745,49.03846808,2.45,5.483588701,1.74911E+11,-0.84212178,0.217243075,-0.807303429,0.16326189,-1.346901417,0.223171577,6.324539185,4.05819464,24.8,35.7,24.074,4.482,76.066,41927007,11475841,-0.995128453,0.130993634,1.354735386,2018,1
Angola,36.3383332,56.9887511,1246700,1010,17.90225231,-1.302401423,0.160281092,37.25949097,49.47,218.5539218,23868,78561.5615,20.20397209,10.27790492,8.764706246,13.2091791,0.730717461,51.20181838,14.82271911,23.44983006,-0.988945425,0.211875618,0.574535906,96,21.8675,63.41375,7.7,2.28,3.236659499,1.28053E+11,-0.389322549,0.233037114,-1.304776907,0.147179112,-0.990437567,0.193387717,3.081910849,1.56333566,24.8,35.7,43.86,10.031,58.623,25188292,9755929,-1.076246738,0.114395961,4.831609765,2012,1
Angola,36.75623646,55.20784471,1246700,1010,25.25970939,-1.483337283,0.169606999,41.78503418,49.03,1331.112025,29520.7,86726.86873,23.38553461,30.69895786,-4.922063195,0.688596532,0.03229,51.20181838,9.732512484,17.51166398,-0.971013606,0.201879606,0.574535906,96,21.8675,43.73541667,23.2,2.241183,2.733334945,52761617226,-0.321580082,0.214360997,-1.0038656,0.195432141,-0.969250917,0.229022488,2.754936695,1.19753695,24.8,35.7,41.377,8.555,61.092,29154746,10452268,-1.140292645,0.124661967,4.102248123,2016,1
Argentina,47.49109325,11.38718671,2736690,591,7.328945763,-0.372122079,0.154729992,97.22439575,7.72,2443.844135,162820.2,352851.0732,14.57092729,4.918951924,5.468423368,4.607157545,0.460070014,51.20181838,12.44826845,25.60454474,-0.012532503,0.206051856,0.574535906,96,21.8675,63.41375,25.94663294,2.98,0.792548175,2.87531E+11,0.097796634,0.239249796,-0.601472259,0.153202802,-0.63569355,0.19724673,4.462600231,4.25491619,24.8,46.3,18.005,7.748,75.006,39876111,3841665,0.448621333,0.128329992,5.3641138,2007,1
Argentina,46.13891234,11.04034436,2736690,591,6.476888402,-0.355230033,0.156813934,98.82,8.79,2877.652653,167226.3,342496.5143,14.90430155,4.918951924,-8.56602872,4.607157545,0.561039984,51.20181838,12.85304269,25.60454474,-0.111791946,0.204734981,0.588557065,96,176.1,63.41375,45,3.1,0.814878105,4.23627E+11,-0.084797867,0.239330947,-0.598094225,0.144613743,-0.742940903,0.186796233,5.019710064,5.56834269,24.8,43.7,17.87,7.661,75.721,40788453,3732551,0.361670136,0.112328812,5.800469259,2010,1
Argentina,45.58130442,10.87708144,2736690,591,5.969318358,-0.445909202,0.137697056,99.14379883,8.61,3000.603523,177955.3,357872.7655,15.2495427,4.918951924,-6.748195554,4.607157545,0.634909987,51.20181838,12.95284151,25.60454474,-0.206967011,0.201149002,0.574535906,96,21.8675,63.41375,55.8,3.05,0.784824721,5.45982E+11,0.103040546,0.219665527,-0.623034239,0.14212063,-0.897686779,0.192174211,5.345829964,6.13485479,24.8,41.4,17.729,7.394,76.467,41733271,3705497,0.295209914,0.111649998,6.311920675,2012,1
Argentina,44.28302073,10.71381852,2736690,591,5.972422727,-0.549443066,0.134030491,100,9.79,3074.702071,179600.7,365636.2677,15.59164538,4.918951924,-11.60069877,4.607157545,0.593959987,51.20181838,12.61096661,24.56978086,-0.110760383,0.206943452,0.574535906,96,21.8675,63.41375,64.7,2.986475,0.878100919,5.2632E+11,-0.005121871,0.192247406,-0.866434515,0.156036824,-1.066149592,0.198224083,5.361440182,6.3273077,24.8,41.8,17.504,7.447,76.755,42669500,3679391,0.34533906,0.126920462,7.537819838,2014,1
Argentina,43.4794953,10.60039683,2736690,591,6.331663232,-0.298964888,0.136510596,99.89974213,9.38,1331.112025,183158.7,375694.4541,15.92813508,4.918951924,-7.006039843,4.607157545,0.558149993,51.20181838,12.09728364,26.17991648,0.219068825,0.199749023,0.574535906,96,21.8675,61.45833333,70.96898082,2.962629,0.813140078,5.57532E+11,0.197749898,0.203295976,-0.320517689,0.160967916,-0.347571164,0.19748807,5.545489788,5.59118652,24.8,42.3,16.824,7.947,76.308,43590368,3649822,0.493365467,0.125269637,6.011233587,2016,1
Argentina,42.37153631,10.52037315,2736690,591,7.549179198,-0.098668173,0.126671717,99.99373627,10.52,1331.112025,176894.6,378187.3624,16.2585101,4.918951924,4.564409099,4.607157545,0.494349986,51.20181838,9.992390084,22.68778062,0.028094053,0.20050399,0.617366731,96,21.8675,65.27291667,77.7,2.89,0.732300348,5.2482E+11,0.006809914,0.208318025,-0.219662562,0.146176517,-0.195977628,0.19148089,4.877739906,5.96251631,24.8,41.7,15.187,7.68,76.999,44494502,3617403,0.539418399,0.127886236,5.367725685,2018,1
Armenia,61.53494907,11.63273621,28470,562,18.6657372,-0.74589169,0.149928808,99.15378571,7.02,1730.798867,5204.4,8366.146581,105.5283808,4.407360896,12.69474446,11.42687703,0.211070001,51.20181838,15.96253173,17.04242538,-0.381906569,0.20082131,0.574535906,96,21.8675,63.41375,6.021253397,2.14,3.042574701,9206301270,0.150905833,0.26269111,-0.496518046,0.149590656,0.265207171,0.177306652,3.018939972,1.61389112,24.8,31.2,12.578,9.117,72.327,3004393,1089423,-0.759377897,0.130854413,2.562913707,2007,1
Armenia,60.94134176,11.61081841,28470,562,24.69845194,-0.69503957,0.138600841,99.8,9.36,1685.847266,4336.6,7561.591307,103.4876361,8.176361385,10.60763579,8.614601737,0.241390005,51.20181838,17.0700514,22.99736235,-0.171523154,0.199668333,0.574535906,96,21.8675,63.41375,25,2.52,4.265646056,9260285756,0.071855329,0.260473907,-0.48135832,0.133656934,0.268946558,0.152373761,3.249000072,1.68628836,41.2,30,13.898,9.384,73.16,2946293,1077165,-0.847521544,0.132860422,1.900693516,2010,1
Armenia,59.11485774,11.59620653,28470,562,27.35990034,-0.58800149,0.130966693,99.53586578,6.56,1872.41308,5716.5,9199.713496,102.3681419,2.558020078,11.28119329,7.434230738,0.238529995,51.20181838,17.49164208,21.37364216,-0.032386623,0.196348101,0.574535906,96,21.8675,63.41375,37.5,2.56,3.583766919,10619320683,0.154794976,0.226807356,-0.418281972,0.127552375,0.334273398,0.164164081,2.772480011,1.57816982,31.3,29.6,15.094,9.761,73.454,2914421,1071341,-0.570491433,0.126344398,2.230288623,2012,1
